"county","year","age_group","total_pop","at_risk"
"Samburu",2005,"95+",0,0
"Machakos",2072,"75-79",38964,38964
"Baringo",2004,"15-19",55098,50214
"Nyeri",2033,"85-89",1426,986
"Nyandarua",2084,"40-44",56095,430
"Busia",2056,"0-4",118740,118738
"West Pokot",2075,"65-69",35226,31290
"Kisumu",2091,"70-74",98191,98191
"Nandi",2015,"40-44",42122,42121
"Nyamira",2008,"95+",12,12
"Nandi",2089,"40-44",69948,69947
"Bomet",2008,"40-44",30495,29490
"Makueni",2024,"20-24",106687,106687
"Nairobi",2076,"45-49",1307756,14373
"Kilifi",2051,"10-14",215111,204901
"Kajiado",2091,"40-44",144334,89447
"Marsabit",2051,"50-54",23554,22826
"Garissa",2017,"30-34",85813,85617
"Busia",2072,"0-4",103750,103748
"Siaya",2061,"70-74",27317,27316
"Vihiga",2007,"65-69",4391,4391
"Nyamira",2014,"40-44",30482,30482
"Siaya",2059,"30-34",98071,98065
"Nyeri",2048,"30-34",82024,58896
"Uasin Gishu",2061,"25-29",196960,169809
"Tana River",2026,"55-59",10167,10044
"Meru",2088,"50-54",209560,202418
"Taita Taveta",2043,"20-24",46121,46121
"Kitui",2092,"5-9",80951,80951
"Kirinyaga",2080,"30-34",72838,72835
"Kajiado",2071,"60-64",92362,62039
"Elgeyo-Marakwet",2096,"5-9",22471,12731
"Murang'a",2052,"45-49",83331,76453
"Nairobi",2084,"60-64",1087682,11288
"Bungoma",2063,"5-9",242606,241493
"Baringo",2068,"0-4",71503,65708
"Kisii",2054,"15-19",275403,275403
"Homa Bay",2020,"90-94",707,707
"Garissa",2055,"60-64",94299,94177
"Nandi",2069,"45-49",77142,77141
"Kakamega",2066,"20-24",274525,274525
"Makueni",2000,"60-64",9196,9196
"Nairobi",2037,"50-54",331042,5574
"Embu",2007,"30-34",37249,37249
"Nairobi",2012,"60-64",41944,939
"Uasin Gishu",2049,"65-69",47968,40180
"Tana River",2064,"45-49",26158,25837
"Mandera",2046,"95+",669,669
"Siaya",2069,"25-29",95293,95287
"Mandera",2098,"10-14",249021,249021
"Meru",2079,"60-64",150233,144226
"Busia",2041,"10-14",124041,124039
"Taita Taveta",2057,"70-74",11707,11707
"Kisii",2004,"70-74",6673,6673
"Busia",2028,"10-14",115943,115941
"Tharaka-Nithi",2019,"5-9",48216,48155
"Meru",2012,"95+",206,183
"Laikipia",2066,"20-24",55269,24357
"Meru",2073,"85-89",17836,17048
"Siaya",2007,"75-79",3161,3161
"Kiambu",2091,"85-89",71812,21631
"Nakuru",2001,"70-74",7571,4698
"Kitui",2066,"15-19",121259,121259
"Kisumu",2053,"90-94",1963,1963
"Migori",2064,"30-34",119465,119463
"Isiolo",2032,"60-64",4786,4783
"Mombasa",2078,"65-69",232319,135453
"Kilifi",2070,"25-29",202189,194641
"Garissa",2063,"80-84",27066,27035
"Kiambu",2088,"90-94",22621,6873
"Laikipia",2081,"35-39",45954,18349
"Elgeyo-Marakwet",2073,"35-39",36665,20775
"Nyandarua",2085,"65-69",34075,258
"Nyamira",2023,"80-84",2092,2092
"Kilifi",2046,"40-44",143946,136748
"Embu",2089,"20-24",53264,53264
"Narok",2048,"35-39",116736,81203
"Samburu",2015,"75-79",1134,919
"Homa Bay",2088,"35-39",82414,82407
"Turkana",2052,"30-34",112542,108969
"Wajir",2099,"0-4",138530,138511
"Isiolo",2051,"10-14",27734,27714
"Kiambu",2058,"35-39",329807,112353
"Kirinyaga",2054,"20-24",81105,81103
"Makueni",2025,"90-94",615,615
"Kajiado",2093,"90-94",9055,5573
"Kilifi",2005,"10-14",132983,124239
"Nandi",2100,"80-84",19797,19797
"Siaya",2090,"0-4",67631,67627
"West Pokot",2099,"15-19",42651,38412
"Kiambu",2099,"50-54",461090,136058
"Uasin Gishu",2053,"35-39",157985,133629
"Kwale",2042,"0-4",114079,102854
"Laikipia",2024,"65-69",6482,3324
"Narok",2011,"75-79",3982,2755
"Laikipia",2048,"0-4",66434,31839
"Homa Bay",2041,"40-44",82360,82356
"Tana River",2083,"0-4",23613,23324
"Samburu",2042,"60-64",9755,7899
"Machakos",2018,"10-14",163492,163492
"Nakuru",2019,"25-29",177875,110196
"Bungoma",2062,"40-44",192247,191355
"Marsabit",2077,"35-39",36349,35436
"Kisii",2011,"5-9",178072,178072
"Isiolo",2008,"90-94",37,37
"Uasin Gishu",2039,"5-9",198785,162527
"Kiambu",2083,"30-34",459589,141832
"Kirinyaga",2025,"85-89",920,919
"Busia",2008,"10-14",92417,92414
"Kakamega",2056,"45-49",204611,204611
"Busia",2031,"55-59",30404,30403
"Tharaka-Nithi",2070,"80-84",5793,5788
"Bungoma",2060,"50-54",171302,170490
"Isiolo",2045,"30-34",22004,21985
"Tana River",2060,"25-29",36058,35615
"Nyeri",2032,"20-24",92381,63834
"Nairobi",2013,"80-84",8906,198
"Marsabit",2074,"70-74",14562,14189
"Kisii",2061,"80-84",27573,27573
"Marsabit",2055,"95+",118,115
"Garissa",2045,"70-74",33876,33822
"Uasin Gishu",2014,"20-24",106838,83882
"Kilifi",2100,"40-44",186375,182194
"Kirinyaga",2002,"95+",0,0
"Turkana",2076,"30-34",101495,98564
"Nandi",2019,"55-59",22164,22164
"Homa Bay",2096,"35-39",74883,74880
"Laikipia",2085,"55-59",36469,14102
"Narok",2053,"50-54",76888,53485
"Migori",2085,"35-39",103449,103447
"Makueni",2029,"75-79",5950,5950
"Turkana",2092,"45-49",79044,76969
"Bomet",2084,"0-4",69166,67136
"Kirinyaga",2079,"95+",691,691
"Murang'a",2051,"45-49",81532,74780
"Kisii",2030,"5-9",203049,203049
"West Pokot",2052,"20-24",82550,72711
"Mandera",2053,"40-44",259819,259819
"Busia",2071,"35-39",102250,102248
"Mandera",2031,"10-14",315757,315757
"Makueni",2088,"5-9",60279,60279
"Trans Nzoia",2037,"25-29",140368,137889
"Narok",2036,"20-24",138522,96367
"Tharaka-Nithi",2018,"85-89",527,526
"Kirinyaga",2054,"85-89",2762,2762
"Kericho",2081,"90-94",4148,3866
"Kilifi",2084,"15-19",196013,190126
"Murang'a",2000,"75-79",3078,2810
"Nakuru",2083,"35-39",348802,260911
"Bungoma",2051,"5-9",260879,259554
"Kisii",2053,"90-94",2841,2841
"Elgeyo-Marakwet",2053,"25-29",46489,26344
"Tharaka-Nithi",2092,"90-94",2006,2006
"Bomet",2025,"0-4",134530,130195
"Kitui",2089,"0-4",83885,83885
"Bomet",2079,"95+",736,717
"Elgeyo-Marakwet",2054,"10-14",51000,28898
"Kiambu",2086,"0-4",445566,136218
"Kiambu",2064,"0-4",422064,139957
"Mombasa",2017,"5-9",160059,92594
"Nakuru",2043,"5-9",351904,234277
"Embu",2085,"40-44",54041,54041
"Meru",2023,"15-19",194181,179076
"Uasin Gishu",2002,"25-29",60640,47687
"Garissa",2035,"10-14",210162,209792
"Machakos",2021,"95+",385,385
"Kajiado",2003,"40-44",21150,17540
"Siaya",2071,"35-39",90251,90242
"Marsabit",2085,"70-74",17195,16797
"Mombasa",2068,"40-44",321388,187230
"Narok",2016,"0-4",163771,114131
"Garissa",2018,"55-59",26795,26736
"Tharaka-Nithi",2078,"85-89",3463,3459
"Kiambu",2023,"30-34",153543,62880
"Kwale",2091,"75-79",30798,26072
"Kajiado",2091,"0-4",138807,86023
"Uasin Gishu",2059,"0-4",202621,173866
"Isiolo",2078,"30-34",26694,26679
"Kajiado",2084,"5-9",143068,91067
"Vihiga",2034,"90-94",621,621
"Murang'a",2042,"90-94",849,777
"Bungoma",2029,"40-44",126203,125482
"Kajiado",2090,"55-59",128979,80227
"Makueni",2074,"30-34",81440,81440
"Trans Nzoia",2039,"90-94",967,945
"Isiolo",2035,"10-14",24433,24412
"Kitui",2057,"90-94",1735,1735
"Isiolo",2016,"85-89",229,229
"Taita Taveta",2063,"15-19",50745,50745
"Kericho",2048,"30-34",113967,103833
"Laikipia",2099,"30-34",38023,12894
"Machakos",2063,"60-64",83506,83506
"Nyeri",2005,"80-84",1319,892
"Bungoma",2037,"25-29",230627,229354
"Nakuru",2050,"40-44",263956,179757
"Narok",2049,"40-44",106766,74273
"Bungoma",2019,"50-54",57823,57477
"Taita Taveta",2004,"15-19",30597,30597
"Nandi",2022,"55-59",25206,25206
"Elgeyo-Marakwet",2002,"65-69",2456,1396
"Nyamira",2094,"60-64",84873,84873
"Machakos",2054,"65-69",52044,52044
"Nyandarua",2035,"85-89",1406,14
"Kilifi",2015,"20-24",125515,117413
"Kirinyaga",2098,"15-19",65066,65065
"Embu",2046,"95+",160,160
"Kirinyaga",2000,"50-54",9556,9556
"Lamu",2005,"85-89",74,61
"Kisii",2089,"45-49",315099,315099
"Nyandarua",2093,"90-94",3143,22
"Kakamega",2069,"35-39",261281,261281
"Kisumu",2046,"0-4",187798,187797
"Wajir",2080,"70-74",83284,83269
"Nairobi",2043,"70-74",128272,1989
"Kirinyaga",2001,"80-84",940,940
"Vihiga",2001,"55-59",6699,6699
"Garissa",2023,"55-59",38091,38015
"Homa Bay",2026,"60-64",22489,22488
"Turkana",2046,"40-44",96948,93818
"Kilifi",2033,"40-44",103220,97417
"Vihiga",2089,"95+",3594,3594
"Murang'a",2031,"70-74",11288,10308
"Isiolo",2094,"50-54",24765,24755
"Kwale",2070,"15-19",90571,79134
"Wajir",2041,"25-29",184579,184533
"Narok",2093,"15-19",66763,46444
"Vihiga",2065,"0-4",199919,199919
"Embu",2067,"55-59",46565,46565
"Marsabit",2058,"25-29",41672,40449
"Machakos",2024,"90-94",787,787
"Embu",2099,"95+",1147,1147
"Murang'a",2037,"25-29",117848,107733
"Meru",2086,"30-34",227810,219757
"Nyamira",2058,"80-84",9122,9122
"Homa Bay",2065,"55-59",74986,74981
"Marsabit",2024,"90-94",216,209
"Turkana",2009,"20-24",86217,83471
"Murang'a",2027,"25-29",97494,88962
"Baringo",2062,"50-54",55511,50933
"Samburu",2085,"70-74",9794,7929
"Isiolo",2100,"85-89",5038,5035
"Nairobi",2056,"20-24",1185147,15699
"Mandera",2027,"75-79",14234,14234
"Kirinyaga",2077,"0-4",72469,72465
"Busia",2031,"85-89",1617,1617
"Embu",2002,"70-74",3136,3136
"Tharaka-Nithi",2062,"70-74",11584,11573
"Kisumu",2075,"95+",1409,1409
"Kisii",2083,"20-24",325883,325883
"Kilifi",2094,"75-79",81374,79334
"Mandera",2056,"5-9",331827,331827
"Nyeri",2060,"95+",360,264
"Narok",2004,"75-79",2933,2048
"Narok",2074,"75-79",25002,17392
"Kiambu",2097,"30-34",488852,144951
"Bungoma",2031,"50-54",83910,83434
"Bomet",2084,"75-79",27240,26438
"Homa Bay",2013,"95+",188,188
"Taita Taveta",2014,"30-34",23816,23816
"Vihiga",2031,"60-64",21060,21060
"Bungoma",2011,"40-44",75077,74702
"Kisii",2051,"60-64",93558,93558
"Nyeri",2036,"10-14",97935,68271
"Trans Nzoia",2100,"30-34",132997,131941
"Homa Bay",2069,"5-9",108724,108720
"West Pokot",2043,"45-49",46493,40853
"Nairobi",2022,"95+",1298,24
"Kajiado",2012,"50-54",18281,15092
"Homa Bay",2047,"70-74",20684,20682
"Narok",2087,"25-29",78400,54534
"Kajiado",2081,"50-54",127546,82168
"Garissa",2084,"90-94",11042,11032
"Kajiado",2042,"75-79",11175,8510
"Bungoma",2055,"90-94",2942,2928
"Nyandarua",2054,"45-49",58755,520
"Kirinyaga",2082,"20-24",73737,73736
"Laikipia",2093,"80-84",12300,4428
"Murang'a",2033,"20-24",123297,112629
"Tana River",2021,"35-39",23225,22939
"Laikipia",2076,"75-79",13510,5593
"Nyamira",2030,"70-74",7794,7794
"Siaya",2091,"45-49",67780,67774
"Embu",2022,"35-39",42179,42179
"Homa Bay",2004,"25-29",70500,70498
"Nyandarua",2011,"10-14",81034,868
"Kilifi",2087,"45-49",185226,179948
"Nandi",2046,"10-14",128450,128449
"West Pokot",2054,"30-34",70996,62571
"Narok",2064,"90-94",2052,1420
"Lamu",2003,"55-59",1295,1080
"Isiolo",2071,"15-19",27333,27319
"Tana River",2013,"75-79",1284,1263
"Kilifi",2079,"30-34",196215,189826
"Kirinyaga",2075,"35-39",73819,73817
"Kilifi",2047,"35-39",170006,161591
"Kakamega",2021,"50-54",56317,56317
"Mombasa",2084,"40-44",412508,240607
"Narok",2039,"0-4",166563,115875
"Nandi",2055,"90-94",1349,1349
"Siaya",2049,"50-54",58183,58179
"Kwale",2019,"55-59",17769,16278
"Marsabit",2065,"40-44",33915,32965
"Taita Taveta",2018,"10-14",45878,45878
"Siaya",2098,"30-34",64165,64161
"Tana River",2088,"85-89",2940,2906
"Tharaka-Nithi",2013,"0-4",53592,53532
"Kisumu",2025,"35-39",84838,84838
"Nyeri",2018,"0-4",103153,69717
"Kisumu",2023,"65-69",14385,14385
"Uasin Gishu",2040,"40-44",109077,89396
"Kirinyaga",2065,"25-29",78685,78684
"Kajiado",2073,"85-89",11276,7510
"Marsabit",2070,"10-14",39855,38780
"Baringo",2088,"5-9",51124,47298
"Lamu",2099,"70-74",8794,8121
"Uasin Gishu",2098,"70-74",117366,109008
"Kakamega",2064,"85-89",13911,13911
"Narok",2064,"15-19",117609,81816
"Nandi",2055,"20-24",114430,114429
"Marsabit",2062,"90-94",670,655
"Kwale",2043,"80-84",4914,4425
"Elgeyo-Marakwet",2021,"60-64",7728,4379
"Nairobi",2043,"45-49",490310,7598
"Nairobi",2031,"65-69",96231,1770
"Makueni",2010,"40-44",40680,40680
"Kiambu",2093,"0-4",448064,134241
"Bomet",2078,"80-84",13994,13578
"Nakuru",2004,"15-19",163447,101047
"Isiolo",2012,"15-19",17635,17630
"Mombasa",2035,"75-79",13009,7544
"Busia",2042,"45-49",61670,61670
"Bungoma",2015,"60-64",22718,22567
"Kisii",2027,"60-64",31791,31791
"Trans Nzoia",2075,"0-4",145095,143364
"Meru",2091,"90-94",12475,12075
"Kiambu",2051,"35-39",299579,105555
"Nairobi",2064,"20-24",1311648,16001
"Narok",2036,"50-54",59423,41340
"Murang'a",2054,"65-69",35502,32593
"Siaya",2050,"15-19",118377,118368
"West Pokot",2048,"85-89",2237,1969
"Kilifi",2082,"20-24",199166,192986
"Mandera",2004,"20-24",68174,68174
"Migori",2001,"20-24",75048,75044
"Narok",2054,"65-69",39517,27492
"Tharaka-Nithi",2044,"5-9",50129,50071
"Nyandarua",2059,"10-14",78615,680
"Kericho",2089,"50-54",95285,89385
"Kericho",2038,"95+",231,208
"Homa Bay",2014,"35-39",59138,59136
"Kitui",2016,"85-89",1558,1558
"Mombasa",2023,"30-34",97578,56392
"Murang'a",2035,"45-49",61879,56544
"Samburu",2007,"45-49",6411,5193
"Trans Nzoia",2025,"0-4",158772,155738
"Marsabit",2076,"70-74",15466,15073
"Machakos",2057,"75-79",25389,25389
"Trans Nzoia",2052,"75-79",18847,18552
"Wajir",2087,"35-39",163784,163757
"Kilifi",2069,"35-39",194093,186739
"Mandera",2037,"80-84",11531,11531
"Nakuru",2094,"55-59",317050,242923
"Vihiga",2003,"75-79",1799,1799
"Kisumu",2096,"15-19",177970,177969
"Kajiado",2069,"90-94",3201,2170
"Lamu",2032,"25-29",14523,12186
"Machakos",2025,"95+",293,293
"Murang'a",2045,"5-9",135394,123992
"Turkana",2027,"15-19",142695,137912
"Kajiado",2028,"60-64",21084,16960
"Garissa",2058,"90-94",3409,3404
"Uasin Gishu",2009,"55-59",14277,11198
"Tharaka-Nithi",2093,"40-44",33450,33425
"Kericho",2067,"20-24",123031,113472
"Busia",2005,"5-9",99704,99702
"Tharaka-Nithi",2033,"75-79",2579,2575
"Trans Nzoia",2082,"35-39",141039,139519
"Kwale",2031,"85-89",1423,1292
"Trans Nzoia",2067,"30-34",150509,148526
"Narok",2054,"25-29",124930,86913
"Nakuru",2086,"5-9",341152,256971
"Isiolo",2009,"75-79",610,610
"Kisii",2035,"30-34",161718,161718
"Kakamega",2072,"85-89",20008,20008
"Tana River",2035,"30-34",34247,33830
"Uasin Gishu",2044,"30-34",161364,133534
"Trans Nzoia",2043,"15-19",154229,151629
"Kiambu",2076,"70-74",185415,58620
"Tharaka-Nithi",2079,"95+",355,355
"Uasin Gishu",2077,"20-24",198818,177646
"Nairobi",2041,"90-94",5829,92
"Garissa",2075,"75-79",68928,68866
"Kitui",2091,"25-29",86916,86916
"Nakuru",2027,"60-64",48903,30924
"Tana River",2045,"70-74",6244,6168
"Trans Nzoia",2097,"10-14",128838,127751
"Bungoma",2018,"35-39",114165,113501
"Kitui",2096,"65-69",58131,58131
"Vihiga",2083,"60-64",157925,157925
"Nyandarua",2088,"20-24",55063,410
"Nyandarua",2003,"80-84",1151,10
"Mombasa",2014,"80-84",2723,1573
"Wajir",2023,"60-64",29442,29436
"Nakuru",2031,"10-14",293350,187807
"Bungoma",2077,"40-44",208868,208028
"Marsabit",2050,"0-4",46254,44824
"Bomet",2052,"65-69",31113,30135
"Kakamega",2011,"45-49",52021,52021
"Kitui",2047,"75-79",14311,14311
"Bungoma",2061,"60-64",108939,108425
"Mandera",2061,"65-69",109183,109183
"Migori",2085,"30-34",104703,104701
"Bomet",2027,"15-19",124036,120044
"Nyandarua",2001,"75-79",2056,23
"Nyandarua",2068,"35-39",66649,557
"Marsabit",2091,"90-94",1809,1771
"Bomet",2090,"55-59",57140,55495
"Mandera",2028,"40-44",157151,157151
"Nakuru",2090,"35-39",351147,266837
"Kisii",2086,"25-29",329960,329960
"Wajir",2021,"95+",480,480
"Siaya",2082,"90-94",3138,3138
"Embu",2079,"5-9",58763,58763
"Wajir",2023,"40-44",87397,87375
"Narok",2018,"80-84",3375,2355
"Tharaka-Nithi",2000,"70-74",1634,1631
"Uasin Gishu",2047,"55-59",78287,65260
"Laikipia",2002,"15-19",36264,19199
"Mombasa",2087,"90-94",19932,11629
"Mombasa",2047,"55-59",111936,65037
"Murang'a",2041,"20-24",116430,106524
"Wajir",2097,"80-84",48299,48291
"Kisumu",2037,"45-49",81772,81772
"Mandera",2100,"20-24",250801,250801
"Nandi",2053,"45-49",81771,81771
"West Pokot",2011,"40-44",25660,22517
"Bomet",2081,"15-19",76792,74517
"Samburu",2097,"75-79",6865,5558
"Embu",2000,"30-34",31205,31205
"Homa Bay",2001,"60-64",9543,9543
"Taita Taveta",2093,"45-49",43391,43391
"Nairobi",2032,"35-39",431356,7810
"Trans Nzoia",2068,"5-9",154133,152126
"Kilifi",2086,"35-39",191412,185868
"Nyeri",2020,"90-94",479,325
"Kericho",2035,"5-9",146171,132295
"Machakos",2097,"75-79",66191,66191
"Narok",2077,"35-39",92361,64250
"Elgeyo-Marakwet",2069,"20-24",40197,22775
"Uasin Gishu",2084,"50-54",175621,159145
"Mandera",2054,"20-24",327376,327376
"Tharaka-Nithi",2034,"30-34",34672,34630
"Mombasa",2075,"70-74",157711,91930
"Vihiga",2078,"50-54",183907,183907
"Kiambu",2055,"95+",1129,385
"Isiolo",2033,"75-79",1344,1344
"Wajir",2098,"60-64",130008,129991
"Elgeyo-Marakwet",2033,"65-69",8285,4694
"Uasin Gishu",2059,"70-74",48714,41798
"Homa Bay",2063,"80-84",12246,12244
"Elgeyo-Marakwet",2009,"35-39",18897,10693
"Kitui",2007,"60-64",11112,11112
"Murang'a",2005,"40-44",36432,33209
"Kirinyaga",2046,"50-54",38158,38155
"Isiolo",2028,"70-74",1757,1755
"Laikipia",2072,"55-59",35505,15095
"Mandera",2076,"60-64",188076,188076
"Kisii",2065,"10-14",295190,295190
"Bungoma",2080,"15-19",215217,214381
"Wajir",2034,"65-69",31535,31526
"Kilifi",2055,"0-4",212592,202950
"Bungoma",2049,"85-89",6901,6869
"Marsabit",2066,"85-89",2254,2188
"Makueni",2028,"85-89",1618,1618
"Busia",2088,"75-79",37687,37686
"Garissa",2066,"30-34",252940,252668
"Mandera",2028,"35-39",181845,181845
"Migori",2080,"15-19",110483,110482
"Garissa",2029,"45-49",80644,80492
"Mombasa",2099,"95+",11277,6585
"Kwale",2065,"35-39",85484,75183
"Kakamega",2055,"45-49",201131,201131
"Isiolo",2066,"85-89",1511,1511
"Kajiado",2068,"45-49",115726,78742
"Embu",2005,"85-89",443,443
"Elgeyo-Marakwet",2001,"60-64",3044,1739
"Lamu",2056,"5-9",17786,15399
"Migori",2007,"75-79",3351,3351
"Narok",2018,"95+",365,254
"Embu",2072,"85-89",4729,4729
"Taita Taveta",2068,"20-24",49677,49677
"Nyamira",2037,"40-44",54521,54521
"Trans Nzoia",2070,"60-64",92843,91663
"Elgeyo-Marakwet",2032,"5-9",59793,33875
"Siaya",2039,"75-79",8885,8884
"Marsabit",2001,"55-59",3720,3589
"Turkana",2100,"0-4",67079,65427
"Vihiga",2082,"30-34",228572,228572
"Nyeri",2006,"50-54",13071,8847
"Garissa",2097,"80-84",84779,84733
"Nyeri",2002,"20-24",61488,41734
"Mandera",2078,"30-34",289722,289722
"Tharaka-Nithi",2029,"5-9",47398,47338
"Vihiga",2081,"5-9",223173,223173
"Siaya",2031,"70-74",10620,10619
"Meru",2093,"85-89",36934,35791
"Laikipia",2069,"40-44",47172,20433
"Bungoma",2091,"35-39",195622,194965
"Lamu",2088,"75-79",6097,5541
"Samburu",2097,"25-29",15233,12330
"Kitui",2056,"75-79",18670,18670
"Siaya",2039,"55-59",40102,40099
"Kirinyaga",2048,"50-54",39737,39734
"Busia",2056,"75-79",16137,16137
"Mandera",2036,"0-4",367440,367440
"Migori",2041,"50-54",59529,59526
"Turkana",2021,"0-4",152373,147224
"Kajiado",2043,"45-49",70981,53817
"Machakos",2097,"30-34",148227,148227
"Nakuru",2048,"85-89",8748,5911
"Kisumu",2074,"15-19",188905,188905
"Tana River",2035,"90-94",241,239
"Lamu",2039,"25-29",15637,13227
"Homa Bay",2088,"85-89",10986,10984
"Kitui",2017,"35-39",69179,69179
"Uasin Gishu",2083,"10-14",194333,175756
"Baringo",2082,"70-74",28838,26622
"Wajir",2092,"35-39",159433,159408
"Mombasa",2028,"70-74",13515,7821
"Busia",2075,"25-29",102071,102069
"Siaya",2072,"85-89",6718,6718
"Trans Nzoia",2049,"15-19",161787,159198
"Nairobi",2097,"5-9",1595444,15345
"Taita Taveta",2063,"20-24",50787,50787
"Kwale",2040,"15-19",100298,90590
"Kirinyaga",2040,"85-89",1411,1411
"Wajir",2070,"55-59",128133,128107
"Makueni",2044,"35-39",96615,96615
"Mandera",2004,"85-89",551,551
"Narok",2036,"65-69",24374,16959
"Laikipia",2051,"5-9",64488,30549
"Migori",2049,"10-14",139250,139247
"Kiambu",2021,"0-4",260936,107995
"Narok",2075,"20-24",97747,67994
"Embu",2012,"45-49",20722,20722
"Mandera",2077,"0-4",286279,286279
"Bungoma",2087,"20-24",204040,203315
"Siaya",2082,"0-4",76983,76977
"Meru",2018,"95+",488,449
"Kisii",2039,"25-29",200139,200139
"Turkana",2037,"45-49",69443,67154
"West Pokot",2077,"20-24",62567,55632
"Migori",2015,"55-59",18860,18860
"Kakamega",2015,"0-4",245606,245606
"Laikipia",2003,"75-79",1162,610
"Migori",2098,"90-94",7382,7382
"Uasin Gishu",2035,"35-39",112572,91163
"Garissa",2031,"90-94",1022,1021
"Wajir",2024,"15-19",199071,199017
"Trans Nzoia",2063,"45-49",116979,115362
"Marsabit",2002,"10-14",35437,34174
"Kajiado",2005,"80-84",1191,986
"Siaya",2027,"95+",199,199
"Kitui",2029,"80-84",4176,4176
"Mombasa",2041,"70-74",31203,18110
"Nakuru",2093,"80-84",106940,81774
"Siaya",2079,"95+",786,786
"Kitui",2079,"15-19",103253,103253
"Elgeyo-Marakwet",2067,"95+",221,123
"Wajir",2090,"40-44",158397,158373
"Lamu",2042,"15-19",17152,14560
"Tharaka-Nithi",2001,"50-54",5365,5359
"Elgeyo-Marakwet",2086,"90-94",1306,740
"Nairobi",2080,"50-54",1293848,13803
"Kisumu",2068,"60-64",107789,107788
"Embu",2003,"60-64",5744,5744
"Laikipia",2071,"90-94",1252,534
"Bungoma",2062,"5-9",243767,242634
"Wajir",2046,"85-89",4974,4974
"Uasin Gishu",2095,"0-4",178963,165405
"Kajiado",2077,"65-69",84204,55146
"Bungoma",2082,"55-59",163085,162469
"Laikipia",2090,"10-14",40814,15119
"Murang'a",2057,"0-4",119741,110019
"Lamu",2018,"50-54",3738,3097
"Taita Taveta",2088,"70-74",23560,23560
"Narok",2073,"75-79",24518,17057
"Nakuru",2000,"0-4",203741,125980
"Kajiado",2015,"15-19",86081,71012
"Tana River",2076,"75-79",7685,7591
"Kilifi",2090,"35-39",190325,185178
"Nyamira",2033,"95+",155,155
"Nyamira",2093,"45-49",99606,99606
"West Pokot",2097,"85-89",8498,7643
"Bomet",2070,"70-74",29580,28682
"Kisumu",2052,"35-39",146468,146467
"Elgeyo-Marakwet",2002,"50-54",5201,2964
"Trans Nzoia",2032,"20-24",144344,141708
"Kiambu",2082,"70-74",227106,70315
"Marsabit",2076,"20-24",37507,36555
"Elgeyo-Marakwet",2080,"90-94",1205,682
"Kajiado",2017,"70-74",5638,4658
"Kilifi",2086,"85-89",23239,22564
"Kirinyaga",2045,"20-24",75195,75194
"Lamu",2071,"75-79",3754,3325
"Vihiga",2016,"65-69",6290,6290
"Kirinyaga",2038,"70-74",9289,9289
"Makueni",2019,"70-74",7504,7504
"Bomet",2098,"70-74",34669,33704
"Nyamira",2100,"40-44",102521,102521
"Nakuru",2055,"75-79",46264,32004
"Kitui",2036,"65-69",23892,23892
"Mandera",2020,"0-4",330754,330754
"Marsabit",2028,"60-64",7821,7554
"Homa Bay",2026,"10-14",137598,137587
"Meru",2033,"20-24",205064,190302
"Tharaka-Nithi",2052,"35-39",36959,36918
"Kisii",2005,"40-44",44122,44122
"Mandera",2043,"70-74",45363,45363
"Trans Nzoia",2090,"25-29",140090,138766
"Kiambu",2027,"90-94",1291,516
"Turkana",2060,"15-19",125435,121553
"Embu",2008,"85-89",498,498
"Mombasa",2007,"15-19",104196,59727
"Wajir",2085,"80-84",39678,39671
"Samburu",2068,"15-19",26914,21784
"Embu",2075,"50-54",48998,48998
"Nyamira",2010,"55-59",9330,9330
"Nyeri",2098,"45-49",70566,58953
"Kwale",2035,"80-84",3326,3015
"Uasin Gishu",2033,"80-84",5361,4319
"Busia",2023,"35-39",61775,61773
"Uasin Gishu",2081,"50-54",169472,152673
"Taita Taveta",2011,"80-84",686,686
"Kwale",2033,"35-39",62746,56990
"Vihiga",2088,"55-59",204385,204385
"Nakuru",2010,"65-69",13207,8160
"Kilifi",2010,"20-24",120868,113238
"Kajiado",2095,"75-79",64266,39252
"Nyamira",2069,"70-74",33721,33721
"Migori",2051,"95+",308,308
"Makueni",2026,"60-64",20915,20915
"Turkana",2044,"75-79",12496,12088
"Nyandarua",2046,"55-59",34275,311
"Kericho",2061,"30-34",120392,110574
"Homa Bay",2014,"60-64",12665,12663
"Mandera",2005,"35-39",39387,39387
"Baringo",2071,"80-84",9956,9158
"Nakuru",2051,"85-89",10203,6973
"Isiolo",2005,"55-59",2179,2179
"Kericho",2030,"60-64",25468,23004
"Baringo",2099,"65-69",34074,31680
"Nyandarua",2039,"40-44",50177,464
"Nandi",2009,"45-49",24511,24511
"Tana River",2050,"0-4",42607,42087
"Bomet",2065,"95+",464,450
"Nairobi",2018,"95+",1284,25
"West Pokot",2014,"45-49",22610,19825
"Machakos",2075,"85-89",13473,13473
"Mandera",2017,"30-34",145971,145971
"Nyamira",2076,"35-39",104203,104203
"Kitui",2015,"5-9",166124,166124
"Mombasa",2077,"85-89",35229,20538
"Siaya",2044,"85-89",2556,2556
"Turkana",2098,"5-9",70963,69187
"Kitui",2033,"65-69",21710,21710
"Kisii",2040,"50-54",98937,98937
"Isiolo",2043,"60-64",7254,7247
"Kajiado",2089,"55-59",127624,79684
"Uasin Gishu",2035,"45-49",85080,68895
"Nyamira",2023,"40-44",38533,38533
